Price,Date,Close,High,Low,Open,Volume
Ticker,,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
155,2023-11-14,132.9842071533203,135.0543119616439,132.68564675621332,133.55150228019363,32395200
156,2023-11-15,133.9794464111328,134.38749919428832,132.93445466887385,134.2282568614201,23861500
157,2023-11-16,136.27845764160156,136.5670862789989,133.6808910221372,134.54674656195866,28013200
158,2023-11-17,134.66616821289062,135.41259957777135,133.01406314727024,135.35288749837048,37240600
159,2023-11-20,135.60169982910156,136.0097526255653,132.98420894713303,133.05388316485448,27815500
160,2023-11-21,136.3182830810547,136.52727537398616,135.31309423775954,135.64151069808045,22635300
161,2023-11-22,137.83103942871094,138.75660699373168,136.81588856208788,136.81588856208788,17813900
162,2023-11-24,136.03961181640625,137.47276251978383,135.3429455539826,137.37323225964377,12514300
163,2023-11-27,135.7609405517578,137.76137114648046,135.35288776014943,135.3827437999076,23436500
164,2023-11-28,136.54718017578125,136.59694530602604,134.7756508796034,135.43251415198907,18730000
165,2023-11-29,134.34768676757812,137.63197233173457,134.19839139618142,136.91541225652824,23967200
166,2023-11-30,131.89938354492188,134.90501778252556,130.6553313986171,134.40739692400365,38988300
167,2023-12-01,131.2325897216797,131.48140018185381,130.04824950146127,131.2325897216797,31431200
168,2023-12-04,128.6549072265625,129.41128550101195,127.29142327486284,129.26200531072064,36669900
169,2023-12-05,130.36672973632812,131.51125173964408,127.63976171874135,128.33642794624606,27384800
170,2023-12-06,129.40135192871094,131.21268423164344,129.26201867463922,130.8145935589201,23576200
171,2023-12-07,136.27845764160156,137.90070669775926,134.05907259412004,134.39745117448874,56767100
172,2023-12-08,134.34768676757812,135.7509660671318,133.39224802366363,133.56143729563297,32233900
173,2023-12-11,132.65577697753906,132.70554210632815,130.73496753299872,131.75011845279244,31138000
174,2023-12-12,131.88943481445312,132.36714658005434,130.635420548748,131.1828065229698,29032800
175,2023-12-13,131.939208984375,132.86477654283303,130.94396721251857,132.74535238978922,30104800
